object_id,example_id,statistic,status,critical_value,null_probability,alternative_probability,paper_value,paper_rounding_digits,computed_value,abs_error,rounding_match,source_equations,description,epsilon,quantile,n,df,sigma_ratio,tail,n1,n2,df1_for_denominator,df2_for_numerator,alpha,beta,f_from_u,null_area,alternative_area,common_area,outside_null_inside_alt_area,critical_piece_area,central_side,central_area,target_area,range_threshold,band_area
ex04_geometry_check,ex04,area_or_volume_relationship,schematic_geometry,,,,,,0.5625,0.0,True,63;64,Overlap-area check for two shifted rectangular sample spaces.,0.1,,,,,,,,,,,,,1.0,1.0,0.5625,0.4375,0.1,,,,,
ex05_geometry_check,ex05,area_or_volume_relationship,schematic_geometry,,,,,,0.1,0.0,True,63,Central-square area check for a fixed-midpoint rectangular population.,0.1,,,,,,,,,,,,,1.0,,,,,0.31622776601683794,0.1,0.1,,
ex06_geometry_check,ex06,area_or_volume_relationship,schematic_geometry,,,,,,0.10000000000000009,8.326672684688674e-17,True,63,Diagonal-band area check for a range threshold in the unit square.,0.1,,,,,,,,,,,,,1.0,,,,,,,0.1,0.05131670194948623,0.10000000000000009
