object_id,example_id,statistic,status,critical_value,null_probability,alternative_probability,paper_value,paper_rounding_digits,computed_value,abs_error,rounding_match,source_equations,description,epsilon,quantile,n,df,sigma_ratio,tail,n1,n2,df1_for_denominator,df2_for_numerator,alpha,beta,f_from_u,null_area,alternative_area,common_area,outside_null_inside_alt_area,critical_piece_area,central_side,central_area,target_area,range_threshold,band_area
ex02_known_mean_accept_h2,ex02,acceptance_probability_known_mean_second_moment,paper_rounded_numeric,15.086272469388987,,0.4172494933039096,0.42,2.0,0.4172494933039096,0.0,True,46;48;50;51,Acceptance probability under sigma1=h sigma0 for the known-mean second-moment statistic.,0.01,,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,
ex02_known_mean_accept_h3,ex02,acceptance_probability_known_mean_second_moment,paper_rounded_numeric,15.086272469388987,,0.10812214675324316,0.11,2.0,0.10812214675324316,0.0,True,46;48;50;51,Acceptance probability under sigma1=h sigma0 for the known-mean second-moment statistic.,0.01,,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,
ex02_sample_variance_accept_h2,ex02,acceptance_probability_sample_variance_comparator,paper_rounded_numeric,13.276704135987622,,0.4941002677948166,0.49,2.0,0.4941002677948166,0.0,True,46;48;50;51,Acceptance probability under sigma1=h sigma0 for the centered sample-variance comparator.,0.01,,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,
ex02_sample_variance_accept_h3,ex02,acceptance_probability_sample_variance_comparator,paper_rounded_numeric,13.276704135987622,,0.1689729125832744,0.17,2.0,0.1689729125832744,0.0,True,46;48;50;51,Acceptance probability under sigma1=h sigma0 for the centered sample-variance comparator.,0.01,,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,
